	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00570	1	0	1	0	1	1	0	1
PTU-00571	0	0	1	1	0	1	0	1
PTU-00572	0	0	0	0	1	0	0	0
PTU-00573	1	0	1	1	1	1	1	1
PTU-00574	0	1	0	1	0	0	0	0
PTU-00575	1	0	0	0	1	0	0	0
PTU-00576	0	0	0	0	1	0	0	1
PTU-00577	1	0	0	0	1	0	0	0
PTU-00578	0	0	0	1	0	0	0	0
PTU-00579	1	0	0	0	1	0	0	1
PTU-00580	0	0	0	1	0	0	0	0
PTU-00581	0	0	1	0	0	0	1	0
PTU-00582	0	0	0	0	1	0	0	0
PTU-00583	0	0	0	0	1	0	0	1
PTU-00584	1	0	0	0	1	0	0	0
PTU-00585	0	0	0	0	1	0	0	0
PTU-00586	1	0	1	0	0	1	0	1
PTU-00587	0	0	0	1	0	0	0	0
PTU-00588	1	1	0	0	1	0	0	1
PTU-00589	0	0	0	0	1	0	0	0
PTU-00590	1	0	1	0	1	0	1	0
PTU-00591	0	0	0	1	0	0	0	0
PTU-00592	0	0	0	1	0	0	0	0
